OBJECTID,key_,cod_tramo,codigo_via,pr_inicial,dist_ini,pr_finl,dist_fin,territorial,tramo,sector,administrador,amv,superficie,calzada,ruta,fuente,fecha_fuente,fecha_actualiz,concesion,observacion_invias,estado,observacion_igac,reversion,pr_ini_con,pr_fin_con,ruleid_1,override,GlobalID,Shape__Length
11,2,55ST020,55ST02,0,0,124,0,22,Conexiones Troncal Central - Troncal Central del Norte,Málaga - Los Curos,1,1,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,124+0,1,,e0cdedfa-2a83-472c-84bd-7396bad55199,123853.374023699
12,1,300257,3002,57,500,111,0,06,Transversal Neiva - San Vicente,Santo Domingo - Mina Blanca,1,3,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 57-111,,57+500,111+0,1,,361ca1d8-9f78-4c9a-af7c-fc30c5519692,53461.2677594449
13,1,23VL02-20,23VL02-2,0,0,6,200,25,Circuito Cali - Palmira,El Limón - La Acequia,2,,,1,,IGAC (Contrato 2932/2008),,2021/09/01 00:00:00+00,,Se asigna codigo 23VL02_2,,,,0+0,6+200,2,,070d0d50-4204-42d7-bef7-993506bd4260,6269.85175422263
14,1,23VL02-10,23VL02-1,0,0,3,700,25,Circuito Cali - Palmira,El Limón - Rozo,3,,,1,,IGAC (Contrato 2932/2008),,2021/09/01 00:00:00+00,,Se asigna codigo 23VL02_1,,,,0+0,3+700,3,,9293ab77-3927-4e29-97d2-8170ad134888,3797.32915744045
15,,2504106,2504,106,549,116,776,25,Alternas a la Troncal de Occidente,Puente Valencia sobre el río Cauca - Cali,1,,,,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2021/09/01 00:00:00+00,,,,,,106+549,116+776,1,,5c955608-0f81-4c4f-a488-87f1dc33aad5,20800.4091689399
16,1,25CRA,25CRA,0,0,4,569.62,11,Troncal de Occidente,Variante de Planeta Rica,2,,1,2,25,ANI,2019/08/12 00:00:00+00,2019/08/12 00:00:00+00,,,,,,0+0,"4+569,62",2,,89f85cd8-9c99-4858-afa8-76eda1bf01d1,5694.40840402043
17,1,400119,4001,0,0,0,0,,Transversal Buenaventura - Villavicencio - Puerto Carreño,Segmentos  Viales fuera de Servicio,1,1, ,2, ,IGAC (Contrato 2932/2008),,, ,Pasos sin USO, ,, ,19+800,62+408,1,,bcb79dbd-3652-4683-acd0-5ff0f84d0546,3409.42475102141
18,1,,43HL02-1,0,0,8,962,14,Alternas a la Troncal del Magdalena,EL Juncal-Casa Blanca,2,,1,,,,,,,,,,,0+0,8+962,2,,67c3b77c-ef5d-4617-8fa9-9119f19fec31,9082.11218342773
19,4,,45CSD,0,0,1,139,26,Troncal del Magdalena,Variante al  Poblado El Libano,1,2,,1,,,,,,No se encuentra registros en imagenes Satelitales,,,,0+0,1+139,1,,eb94fe26-fe1d-4e15-997d-b42b2cb4dada,2170.49826718258
20,4,,70NS06-1,0,0,1,272,18,Conexión Colombia - Venezuela,Cucuta - Puente Binacional Tienditas,1,,1,2,70,,,,,,,,,0+0,1+272,1,,521f0ce5-bf7d-4129-b9b9-38004604dc22,2634.07792083911
21,1,80MGA,80MGA,0,0,2,868.6,15,Transversal Carmen - Bosconia - Valledupar - Maicao - Puerto Bolivar,Variante de Pueblo Nuevo,2,,,2,80,ANI,2019/08/21 00:00:00+00,2019/08/21 00:00:00+00,,,,,,0+0,"2+868,6",2,,32cf9900-ea94-4890-b766-ad0261489f25,6173.84261496782
22,4,,P.D.,,,,,,,Caucasia - Zaragoza,,,,,,,,,,,,,,,,3,,a8b04aab-37fe-448c-aa9f-8be87b149068,1437.57279293508
23,1,25ANH,25ANH,0,0,4,658,01,Troncal de Occidente,Variante de Caucasia,2,,,,25,ANI,2019/10/25 00:00:00+00,2019/10/25 00:00:00+00,,,,,,0+0,4+658,2,,a424c64f-6651-459e-80d1-fb9557039875,5491.93001813556
24,1,30010,3001,0,0,54,0,14,Transversal Neiva - San Vicente,Neiva - Balsillas,1,3,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 0-2,,0+0,54+0,1,,1050cf87-6f54-4b06-ad6a-428051df3a7b,53932.5429021809
25,1,36021,3602,1,0,47,514,24,Alternas Buga - Puerto Inirida,Chaparral - Ortega,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,1+0,47+514,1,,3c110558-6a93-43ea-b39b-41b693e4821c,43960.30474746
26,4,25ANI,25ANI,0,0,2,76,01,Alternas a la Troncal de Occidente,Variante La Pintada,2,,1,1,25,,2019/11/18 00:00:00+00,2019/11/18 00:00:00+00,,,,,,0+0,2+076,2,,fe25953c-fc01-4c82-8489-2dde496fc95d,2092.21550136572
27,4,45CLB,45CLB,0,0,13,790,24,Troncal del Magdalena,Variante La Dorada - Puerto Salgar,2,,1,1,45,CONCESION,,2020/02/04 00:00:00+00,CONCESION ALTO MAGDALENA SAS,,,,,0+0000,13+0790,2,,cdc68de9-1b62-42ee-bb3f-70a4bb60daf3,14508.5766606115
28,1,451033,4510,38,86,38,246.5,24,Troncal del Magdalena,Segmentos  Viales fuera de Servicio,2,,,,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2020/02/10 00:00:00+00,,,,,,38+0008,38+0247,2,,16d20a62-6e25-410a-b6f0-700f2d1e854d,240.44952699158
29,1,50080,5008,2,826.8,5,99.7,12,Transversal Medellin - Bogotá,Segmentos  Viales fuera de Servicio,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2020/02/11 00:00:00+00,,,,,,2+0826,5+0099,2,,be26bb7a-a500-486f-b57e-120505614715,2773.51524794013
30,4,45TL10,45TL10,0,0,2,820,24,Alternas a la Troncal del Magdalena,Cruce Ruta 45 (Los Arbolitos) - Cruce Ruta 40 (Terminal),2,,1,1,45,ANI,2019/06/05 00:00:00+00,2020/02/17 00:00:00+00,,,,,,0+0,2+0820,2,,f720a2c4-ba96-4628-bab7-9ecbaf2de2fe,2835.70021098096
31,1,36030,3603,0,0,36,253,24,Alternas Buga - Puerto Inirida,Ortega - Guamo,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,36+253,1,,d438fb9a-7c98-4d8d-a594-9768e88b9481,35993.2208590498
32,1,40MTA80,40MTA,80,0,94,583,16,Alternas a la Transversal Buenaventura - Villavicencio - Puerto Carreño,Pipiral - Villavicencio,1,1,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 80-83,,80+0,94+583,1,,aa8d1ffe-8823-4165-9338-b5891c896378,14436.5935384852
33,1,4006A0,4006A,0,0,32,400,12,Conexión Transversal Buenaventura - Puerto Carreño y Troncal Central del Norte,Bogotá - Choachí - Ubaque,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,32+400,2,,59f350be-a1cd-4003-ac10-3c201897eb32,31985.1194870486
34,4,62ANE,62ANE,0,0,6,416,01,Troncal de Uraba,Variante de Currulao,2,,1,1,62,Archivo SHP suministrdo por la ANI,2020/01/22 00:00:00+00,2020/02/26 00:00:00+00,Transversal de las Americas,,,,,0+0000,6+0416,2,,97522efe-c216-488b-926b-b76f18a5523d,6615.26688486532
35,1,45052,4505,2,0,110,500,14,Troncal del Magdalena,Garzón - Neiva,2,,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,SANTANA - MOCOA - NEIVA (ENTREGADA 23-SEPT-2015),PR inicial 1+1030 en Ramón Lobo,,"Act. seg 12-16; 19-21; 30-31",,2+0,110+500,2,,a6cb23ef-5e9c-4f69-861e-fec4dd025acc,107499.986438331
36,1,43010,4301,0,0,49,500,14,Alternas a la Troncal del Magdalena,Cruce Tesalia - Teruel,1,2,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,"Act. seg 30-32; 38-39: 40-45",,0+0,49+500,1,,bde83315-2465-4827-bb70-70eb8c378d2d,51053.1086180124
37,1,450714,4507,14,150,14,270,24,Troncal del Magdalena,Puente Saldaña,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,14+150,14+270,2,,a8856fbd-7e7a-413d-b0d3-72fa3f3f36e6,120.99139744984
38,1,450683,4506,83,100,86,400,14,Troncal del Magdalena,Paso Nacional por Natagaima,1,3,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,83+100,86+400,1,,43986507-f822-48ae-a923-f2a7cb4a0f5e,3504.57483150202
39,1,450724,4507,24,60,27,1130,24,Troncal del Magdalena,Paso Nacional  por El Guamo,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,24+60,27+1130,1,,afd32403-fc77-47b6-9d55-447f3a25e92b,3933.64976052844
40,1,65110,6511,0,0,49,550,07,Troncal Villagarzon - Saravena,Barranca de Upía - Monterrey,2,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,VILLAVICENCIO - YOPAL (ENTREGADA 8-SEPT-2015),,,,,0+0,49+550,2,,eaa7a3d7-f154-45d6-9951-3818c4a55c34,51095.8819493514
41,1,65090,6509,0,0,69,925,16,Troncal Villagarzon - Saravena,Ye de Granada - Paso por el Puente sobre el Río Ocoa,2,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,MALLA VIAL DEL META 2015. (ENTREGADO 9-JUN-2015),,,,,0+0,69+925,2,,c8672449-e7ca-4806-9c3f-3ed678a8a322,70547.7722361659
42,1,500250,5002,50,0,73,608,21,Transversal Las Animas - Bogotá,Mumbú - Santa Cecilia,1,1,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 65 -73,,50+0,73+608,1,,f9372db1-8b91-49fe-bf0a-962e7e0774d9,23247.1573837314
43,4,62ANF,62ANF,0,0,9,166,01,Troncal de Uraba,Variante de Apartadó,2,,1,1,62,Archivo SHP suministrdo por la ANI,2020/01/22 00:00:00+00,2020/02/26 00:00:00+00,Transversal de las Americas,,,,,0+0000,9+0166,2,,d9700c56-dc75-43fa-9467-6499e814be27,9453.07131519262
44,1,40070,4007,0,0,0,654,16,Transversal Buenaventura - Villavicencio - Puerto Carreño,Intersección Séptima Brigada - PR 0+0654,3,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,Se traslapa con PR inicial de ANI. Via no está en Criterio Tecnico,urg rev,,,0+0,0+654,3,,80ff2880-1708-4b73-955a-d586392660f9,657.37615026661
45,1,45TLE0,45TLE,0,0,3,100,14,Troncal del Magdalena,Variante de Natagaima,2,,,1,,Google Maps,,2015/12/09 00:00:00+00,,PR Final en Red Cartografica es 3+0230,,,,0+0,3+100,2,,ee5f1c8a-0517-48bd-b313-495868a23cf9,3089.58946474812
46,1,55040,5504,0,0,102,210,22,Troncal Central del Norte,La Palmera - Presidente,1,1,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,PR final 102+0000 (Ramón Lobo),rev,Act. seg 0 a 102,,0+0,102+210,1,,daf44399-0fd3-4afa-99a5-d8c48a820b8b,102131.536019632
47,4,62ANG,62ANG,0,0,6,457,01,Troncal de Uraba,Variante de El Reposo,2,,1,1,62,Archivo SHP suministrdo por la ANI,2020/01/22 00:00:00+00,2020/02/26 00:00:00+00,Transversal de las Americas,,,,,0+0000,6+0457,2,,8da904c4-3b17-4503-9974-03435c7cf3ff,6701.15753056936
48,1,50090,5009,0,0,35,0,12,Conexión Transversal Buenaventura - Puerto Carreño y Troncal Central del Norte,Bogotá (Los Patios) - Guasca,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,35+0,2,,2389c6fe-7b6e-4bcf-88d1-0dc6e5d0a84d,35184.4172987796
49,4,,P.D.,,,,,12,,,,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,En Espera de respuesta de la ANI Actas Devinorte y Accesos Norte,,,,,,2,,c60cffc4-c59e-4d18-ab35-dda55a2b3617,1889.54359953883
50,1,56077,5607,7,146,45,790,12,Conexión Troncal Central del Norte - Troncal Villagarzon - Saravena,Brisas - Guateque,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,TRANSV. DEL SISGA (ENTREGADA 28-AGT-2015),PR final 46+0080 (Ramón Lobo),rev,,,7+146,45+790,2,,b3a538ba-1be2-4769-b238-cae054698e38,38451.8505382035
51,1,40CNA0,40CNA,0,0,0,772,12,Transversal Buenaventura - Villavicencio - Puerto Carreño,Paso por Chipaque,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,PR final 0+0750 Ramón Lobo,,,,0+0,0+772,1,,82a02ccb-d9f0-43e7-bb0a-64743ccafcab,785.10271543853
52,1,40CN010,40CN01,0,0,11,150,12,Transversal Buenaventura - Villavicencio - Puerto Carreño,El Portal - El Antojo,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,11+150,1,,3435f1d4-7bd4-44e5-95cf-b2d989039970,11062.5312244602
53,1,70080,7008,0,0,69,0,26,Acceso a Cucuta y Venezuela,Ocaña - Alto del Pozo,1,1,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 24-27+0400,,0+0,69+0,1,,3506b0ab-c043-4eb4-9438-9b04bcc52066,72095.9588808965
54,1,40080,4008,0,0,109,619,16,Transversal Buenaventura - Villavicencio - Puerto Carreño,Puerto López - Puerto Gaitán,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2021/02/01 00:00:00+00,MALLA VIAL DEL META 2015. (ENTREGADO 9-JUN-2015),PR final 111+0970 (Ramón Lobo),rev,,,0+0,109+619,2,,44bd9cf4-72a0-4250-8957-0aa6193db8b2,109063.042025834
55,1,50085,5008,5,850,64,0,12,Transversal Las Animas - Bogotá,Honda - Villeta,1,2,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,PR final 62+0000 (Ramón Lobo),rev,,,5+850,64+0,1,,830661f1-8e04-42c9-b5aa-1fe9e4eea9f5,58935.8167997452
56,1,500935,5009,35,0,35,500,12,Conexión Transversal Buenaventura - Puerto Carreño y Troncal Central del Norte,Paso por Guasca,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,Para definir trazado,Memorando,,,35+0,35+500,1,,c57b1c2f-fd8d-4237-ab0e-76b0ca33eaff,1281.0050407941
57,1,64040,6404,0,0,128,500,04,Ruta de Los Libertadores,Belén - Sácama,1,4,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,"Act. seg 21-23; 32-33; 42-45",,0+0,128+500,1,,6b605d49-864a-41e4-8062-344875ac450c,124088.988284884
58,1,560421,5604,21,500,24,500,12,Circuito de las Provincias de Rionegro y Bajo Magdalena,Yacopí - La Palma,1,2,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,21+500,24+500,1,,43f49265-51ed-4775-9fb3-4ac013328497,3008.82965302202
59,1,56040,5604,0,0,19,500,12,Circuito de las Provincias de Rionegro y Bajo Magdalena,Yacopí - La Palma,1,2,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,19+500,1,,c2f9c767-b038-4543-a1c0-920c96e61f86,19576.3955780525
60,1,450686,4506,86,400,106,652,14,Troncal del Magdalena,Natagaima - Castilla,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,PR final 16+0000 en Ramón Lobo,,,,86+400,106+652,2,,b2794847-1d9d-4842-b668-a60532b31356,20472.4132587301
61,1,45060,4506,0,0,83,100,14,Troncal del Magdalena,Neiva - Natagaima,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,83+100,2,,207805ff-cf7e-4a87-baa6-5af77aca9d2c,83274.9912960313
62,3,56070,5607,0,0,7,146,12,Conexión Troncal Central del Norte - Troncal Villagarzon - Saravena,Chocontá - Brisas,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,7+146,1,,f7b5ac7a-997e-4116-afb7-719645cfbc82,7210.02936906663
63,1,560878,5608,78,0,92,48,07,Conexión Troncal Central del Norte - Troncal Villagarzon - Saravena,El Secreto - Aguaclara,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,78+0,92+48,2,,cf71d4b3-4d3d-4da4-9315-38afd1f8cdcd,14252.2754504043
64,1,650972,6509,72,2775,72,3045,16,Troncal Villagarzon - Saravena,Paso por el Puente sobre el Río Ocoa - Villavicencio,2,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,MALLA VIAL DEL META 2015. (ENTREGADO 9-JUN-2015),,,,,72+2775,72+3045,2,,f337409d-9687-44ef-9e56-0add06c41679,2656.25870965073
65,1,64030,6403,0,0,78,11,22,Transversal Guane - San Gil - Mogotes - La Rosita,Cruce Ruta 45A (San Gil) - Onzaga,1,2,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,PR final 78+0 Ramón Lobo,,,,0+0,78+11,1,,951eacff-9670-4b8d-8e13-b6ac7c3fca81,77381.5151168573
66,1,45070,4507,0,0,14,150,24,Troncal del Magdalena,Castilla - Puente Saldaña,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,14+150,2,,c25cb3ea-4f8d-4c40-9fe4-c7b52b70abe9,14307.533298733
67,1,450714,4507,14,270,24,60,24,Troncal del Magdalena,Castilla - Girardot,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,14+270,24+60,2,,a7e2e19c-e674-4860-a50c-a91b9e1303cd,9825.75774476805
68,1,450727,4507,27,1130,40,500,24,Troncal del Magdalena,Castilla - Girardot,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,27+1130,40+500,2,,e4d97cd9-a82b-48c6-82e4-7954b2c4375e,11804.5907718826
69,1,65080,6508,0,0,103,938,16,Transversal Buga - Puerto Inirida,Cruce Puerto Rico - Ye de Granada,1,1,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,Via no está en Criterio Tecnico,urg rev,"Act. seg 87-89; 102-104",,0+0,103+938,1,,1a6f25f7-bf37-462c-a49c-4e0e0be20f9a,104192.50844177
70,2,65MTA0,65MTA,0,0,14,0,16,Alternas a la Transversal Buga - Puerto Inirida,Paso Nacional por Puerto Lleras,1,3,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,PR final 13+0970 (Ramon Lobo),rev,,,0+0,14+0,1,,e7c194e2-d26e-4975-bf6c-c895a7773246,14532.0712784247
71,1,450740,4507,40,500,45,0,24,Troncal del Magdalena,Paso Nacional por El Espinal,1,1,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,PR inicial 40+0500 (Ramón Lobo),rev,,,40+500,45+0,1,,5e131329-2db6-4d55-85a0-4dfe6e3fb9a8,6667.61364834165
72,3,65MTB0,65MTB,0,0,1,890,16,Alternas a la Transversal Buga - Puerto Inirida,Paso Nacional por Puerto Limón,1,3,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 0-1+0890,,0+0,1+890,1,,762301f4-e572-48c3-a294-aab072b52de1,1884.96909868318
73,1,650969,6509,69,925,72,2775,16,Troncal Villagarzon - Saravena,Entrada Ciudad Porfía - Caño Tigre,3,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2018/08/29 00:00:00+00,,,,,,69+925,72+2775,3,,5b2f8576-9187-426f-bf6e-95987fd24d90,4630.02869186534
74,1,500746,5007,46,0,46,1150,24,Transversal Las Animas - Bogotá,Puente Luis Ignacio Andrade en Honda (VARIANTE HONDA - PUERTO BOGOTÁ),1,2,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,46+0,46+1150,1,,9a77424a-3ccb-4345-a497-810fecb036fe,2803.30479554899
75,1,40TL050,40TL05,0,0,3,224,24,Transversal Buenaventura - Villavicencio - Puerto Carreño,Cruce Ruta 40 - La Tambora,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,3+224,1,,9d738c7d-ddef-48f7-891a-0e698e816e5a,3482.45423658653
76,1,40CNB28,40CNB,28,800,40,400,12,Transversal Buenaventura - Villavicencio - Puerto Carreño,Puente Real - Cáqueza - El Tablón,1,1,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,28+800,40+400,1,,fb7436a9-1f46-4e97-9172-6cf61f4ca815,11852.2615887047
77,1,30020,3002,0,0,57,500,14,Transversal Neiva - San Vicente,Balsillas - Santo  Domingo,1,3,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,"Act. seg 3-4; 7-9;19-20; 36-39",,0+0,57+500,1,,e6ea739e-be3c-43db-8b64-fae5ea6a5ff9,58908.6931887876
78,1,65040,6504,0,0,81,92,06,Troncal Villagarzon - Saravena,Puerto Rico - Mina Blanca,1,3,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 0-81,,0+0,81+92,1,,e65bc173-25f7-4026-a710-8cff15c17cc6,80956.9623921535
79,1,29CL03-10,29CL03-1,0,0,3,189,05,Conexion Troncal del Eje Cafetero - Transversal Las Animas - Bogotá,Club Campestre - La Trinidad,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,PR Final Ramón Lobo 4+0000,,,,0+0,3+189,2,,bb5a8dac-030f-4419-8a78-ffd744f59e9b,6749.99532444939
80,1,5008A58,5008A,58,920,63,950,12,Transversal Las Animas - Bogotá,Paso Nacional por Madrid,1,1,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,58+920,63+950,1,,9795b8c4-1879-40b6-8c85-1b86d39c5080,5534.82614316097
81,1,290228,2902,28,600,45,0,05,Acceso a Manizales,Chinchiná - Estación Uribe,1,1,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 44-45,,28+600,45+0,1,,c7ed284f-4567-4ac3-bb07-397fbb067e63,17014.3409907431
82,1,6508103,6508,103,938,106,0,16,Transversal Buga - Puerto Inirida,Ye de Granada - Casco Urbano Granada,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,MALLA VIAL DEL META 2015. (ENTREGADO 9-JUN-2015),,,,,103+938,106+0,2,,d323300c-bd06-429e-8414-0c99d779ba72,2449.68628536385
83,1,65070,6507,0,0,102,600,16,Transversal Buga - Puerto Inirida,San José del Guaviare - Cruce Puerto Rico,1,4,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,102+600,1,,051a87eb-84ac-4770-970b-0f6c36e6f6ac,100228.478244992
84,3,650957,6509,57,352,58,564,16,Troncal Villagarzon - Saravena,Paso Antiguo por el Río Guayuriba,1,1,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,57+352,58+564,1,,5d986844-3152-4093-b3ad-c8272e0af984,674.566700132369
